Table,Column,Type,References,Constraints,Description
users,id,uuid,,PRIMARY KEY,Unique user identifier
users,telegram_id,text,,NOT NULL UNIQUE,Telegram user ID
users,first_name,text,,NOT NULL,User's first name
users,last_name,text,,,User's last name (optional)
users,handle,text,,NOT NULL,User's handle/username
users,linkedin_url,text,,,LinkedIn profile URL
users,email,text,,,User's email address
users,referral_code,text,,,Referral code
users,twitter_url,text,,,Twitter profile URL
users,twitter_followers,text,,,Number of Twitter followers
users,is_approved,boolean,,DEFAULT false,Approval status
users,is_admin,boolean,,DEFAULT false,Admin status
users,applied_at,timestamp,,,Application timestamp
users,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

companies,id,uuid,,PRIMARY KEY,Unique company identifier
companies,user_id,uuid,users.id,NOT NULL CASCADE,Associated user
companies,name,text,,NOT NULL,Company name
companies,short_description,text,,,Brief company description
companies,long_description,text,,,Detailed company description
companies,website,text,,NOT NULL,Company website
companies,job_title,text,,NOT NULL,User's role in the company
companies,twitter_handle,text,,,Company Twitter handle
companies,twitter_followers,text,,,Company Twitter followers count
companies,linkedin_url,text,,,Company LinkedIn URL
companies,funding_stage,text,,NOT NULL,Company funding stage
companies,has_token,boolean,,DEFAULT false,Whether company has a token
companies,token_ticker,text,,,Token ticker symbol
companies,blockchain_networks,text[],,,Blockchain networks
companies,tags,text[],,,Company tags
companies,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

events,id,uuid,,PRIMARY KEY,Unique event identifier
events,name,text,,NOT NULL,Event name
events,start_date,timestamp,,NOT NULL,Event start date
events,end_date,timestamp,,NOT NULL,Event end date
events,city,text,,NOT NULL,Event location
events,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

user_events,id,uuid,,PRIMARY KEY,Unique user-event mapping
user_events,user_id,uuid,users.id,NOT NULL CASCADE,User reference
user_events,event_id,uuid,events.id,NOT NULL CASCADE,Event reference
user_events,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

notification_preferences,id,uuid,,PRIMARY KEY,Unique preferences identifier
notification_preferences,user_id,uuid,users.id,NOT NULL CASCADE,User reference
notification_preferences,notifications_enabled,boolean,,DEFAULT true,Whether notifications are enabled
notification_preferences,notification_frequency,text,,NOT NULL DEFAULT 'Daily',Notification frequency
notification_preferences,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

marketing_preferences,id,uuid,,PRIMARY KEY,Unique preferences identifier
marketing_preferences,user_id,uuid,users.id,NOT NULL CASCADE,User reference
marketing_preferences,collabs_to_discover,text[],,,Collaboration types to discover
marketing_preferences,collabs_to_host,text[],,,Collaboration types to host
marketing_preferences,twitter_collabs,text[],,,Twitter collaboration types
marketing_preferences,filtered_marketing_topics,text[],,,Filtered marketing topics/tags
marketing_preferences,discovery_filter_enabled,boolean,,DEFAULT false,Whether discovery filter is enabled
marketing_preferences,discovery_filter_topics_enabled,boolean,,DEFAULT false,Whether topic filter is enabled
marketing_preferences,discovery_filter_company_followers_enabled,boolean,,DEFAULT false,Whether company followers filter is enabled
marketing_preferences,discovery_filter_user_followers_enabled,boolean,,DEFAULT false,Whether user followers filter is enabled
marketing_preferences,discovery_filter_funding_stages_enabled,boolean,,DEFAULT false,Whether funding stage filter is enabled
marketing_preferences,discovery_filter_token_status_enabled,boolean,,DEFAULT false,Whether token status filter is enabled
marketing_preferences,discovery_filter_company_sectors_enabled,boolean,,DEFAULT false,Whether company sector filter is enabled
marketing_preferences,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

conference_preferences,id,uuid,,PRIMARY KEY,Unique preferences identifier
conference_preferences,user_id,uuid,users.id,NOT NULL CASCADE,User reference
conference_preferences,coffee_match_enabled,boolean,,DEFAULT false,Whether coffee match is enabled
conference_preferences,coffee_match_company_sectors,text[],,,Company sectors for coffee matching
conference_preferences,coffee_match_company_followers,text,,,Min company followers for coffee matching
conference_preferences,coffee_match_user_followers,text,,,Min user followers for coffee matching
conference_preferences,coffee_match_funding_stages,text[],,,Funding stages for coffee matching
conference_preferences,coffee_match_token_status,boolean,,DEFAULT false,Token status for coffee matching
conference_preferences,filtered_conference_sectors,text[],,,Filtered conference sectors
conference_preferences,coffee_match_filter_company_sectors_enabled,boolean,,DEFAULT false,Whether company sector filter is enabled
conference_preferences,coffee_match_filter_company_followers_enabled,boolean,,DEFAULT false,Whether company followers filter is enabled
conference_preferences,coffee_match_filter_user_followers_enabled,boolean,,DEFAULT false,Whether user followers filter is enabled
conference_preferences,coffee_match_filter_funding_stages_enabled,boolean,,DEFAULT false,Whether funding stage filter is enabled
conference_preferences,coffee_match_filter_token_status_enabled,boolean,,DEFAULT false,Whether token status filter is enabled
conference_preferences,created_at,timestamp,,DEFAULT NOW(),Creation timestamp

collaborations,id,uuid,,PRIMARY KEY,Unique collaboration identifier
collaborations,creator_id,uuid,users.id,NOT NULL CASCADE,Creator user reference
collaborations,collab_type,text,,NOT NULL,Collaboration type
collaborations,title,text,,NOT NULL,Collaboration title
collaborations,description,text,,NOT NULL,Collaboration description
collaborations,status,text,,NOT NULL DEFAULT 'active',Collaboration status
collaborations,topics,text[],,,Collaboration topics
collaborations,filter_company_sectors_enabled,boolean,,DEFAULT false,Whether company sector filter is enabled
collaborations,filter_company_followers_enabled,boolean,,DEFAULT false,Whether company followers filter is enabled
collaborations,filter_user_followers_enabled,boolean,,DEFAULT false,Whether user followers filter is enabled
collaborations,filter_funding_stages_enabled,boolean,,DEFAULT false,Whether funding stage filter is enabled
collaborations,filter_token_status_enabled,boolean,,DEFAULT false,Whether token status filter is enabled
collaborations,filter_blockchain_networks_enabled,boolean,,DEFAULT false,Whether blockchain networks filter is enabled
collaborations,required_company_sectors,text[],,,Required company sectors
collaborations,required_funding_stages,text[],,,Required funding stages
collaborations,required_token_status,boolean,,,Required token status
collaborations,required_blockchain_networks,text[],,,Required blockchain networks
collaborations,min_company_followers,text,,,Minimum company followers
collaborations,min_user_followers,text,,,Minimum user followers
collaborations,is_free_collab,boolean,,NOT NULL DEFAULT true,Whether it's a free collaboration
collaborations,details,jsonb,,NOT NULL,Type-specific collaboration details
collaborations,date_type,text,,NOT NULL,Date preference type
collaborations,specific_date,text,,,Specific date if required
collaborations,created_at,timestamp,,DEFAULT NOW(),Creation timestamp
collaborations,updated_at,timestamp,,DEFAULT NOW(),Update timestamp

collab_applications,id,uuid,,PRIMARY KEY,Unique application identifier
collab_applications,collaboration_id,uuid,collaborations.id,NOT NULL CASCADE,Collaboration reference
collab_applications,applicant_id,uuid,users.id,NOT NULL CASCADE,Applicant user reference
collab_applications,status,text,,NOT NULL DEFAULT 'pending',Application status
collab_applications,message,text,,,Application message
collab_applications,created_at,timestamp,,DEFAULT NOW(),Creation timestamp
collab_applications,updated_at,timestamp,,DEFAULT NOW(),Update timestamp

collab_notifications,id,uuid,,PRIMARY KEY,Unique notification identifier
collab_notifications,user_id,uuid,users.id,NOT NULL CASCADE,User reference
collab_notifications,collaboration_id,uuid,collaborations.id,NOT NULL CASCADE,Collaboration reference
collab_notifications,application_id,uuid,collab_applications.id,CASCADE,Application reference (optional)
collab_notifications,type,text,,NOT NULL,Notification type
collab_notifications,content,text,,NOT NULL,Notification content
collab_notifications,is_read,boolean,,DEFAULT false,Whether notification is read
collab_notifications,is_sent,boolean,,DEFAULT false,Whether notification is sent
collab_notifications,created_at,timestamp,,DEFAULT NOW(),Creation timestamp